Feature,Correlation
amsterdam,-0.0019523032820335416
amulet,-9.27648746263565E-4
amuse,-7.84001486975171E-4
amused,6.614910420115952E-4
amusement,-8.588332269309376E-4
amusing,-0.0015283657247278082
amy,-0.0015283657247278082
an,-0.009020076147229664
ana,-0.0025528988866283077
anakin,-0.001644620943519138
analysis,-0.0017879133457823439
analyst,-0.0015283657247278082
analyze,-0.001051861245719923
anarchy,-0.0012145958963774527
anas,-9.917012584517084E-4
anastasia,-0.0016815884785703846
anatomy,-8.588332269309376E-4
ancestors,-0.0011087624989792283
anchor,-0.002074463395634465
ancient,8.921475542267097E-5
anck-su-namun,-7.84001486975171E-4
and,-0.008399663229413153
and-and,-0.0011087624989792283
anderson,-0.0018882642823354764
andersons,-7.84001486975171E-4
andre,-0.0011087624989792283
andrew,-0.0017531879115482531
andrews,-9.27648746263565E-4
andy,0.015169923021323362
andys,-0.0014025117020763493
angel,-0.004209184099569986
angela,-0.0011628834778207966
angeles,0.001761928483184417
angels,-1.9949626607917496E-4
anger,-0.0028704612658579784
angie,-7.84001486975171E-4
angle,-0.00284895065999877
angles,-0.0012641953586989781
angriest,-8.588332269309376E-4
angrily,0.001604751860621816
angry,-1.5787428453205245E-4
anguish,-0.001051861245719923
angus,-0.0013579719608438582
animal,0.0021104410468104212
animals,0.004242523913826588
anita,-0.0011628834778207966
ankle,-0.0015283657247278082
ankles,-0.0013579719608438582
ann,-0.001051861245719923
anna,-0.0022452859409609386
annabelle,-9.917012584517084E-4
anne,-0.0030773220321889424
annes,-8.588332269309376E-4
annibal,-0.001644620943519138
annie,-0.0030773220321889424
anniversary,-0.0014875974070639613
announce,-0.001644620943519138
announced,-9.27648746263565E-4
announcement,0.0025564667664717895
announcements,0.006409890313180304
annoy,-0.001051861245719923
annoyance,-9.27648746263565E-4
annoyed,0.0021515319781821958
annoying,-0.0013119215385158172
annual,-0.0011628834778207966
anomaly,-9.27648746263565E-4
anonymous,-0.0017879133457823439
another,-0.006190136645047231
anothers,-8.588332269309376E-4
anouar,-0.0013119215385158172
answer,-9.56632088032063E-4
answered,-0.0018554167201464764
answering,-0.0018882642823354764
answers,-0.0034362793412731473
antarctica,-7.84001486975171E-4
ante,-7.84001486975171E-4
antenna,-0.0012145958963774527
anthony,-0.0012641953586989781
anticipate,-8.588332269309376E-4
anticipated,-7.84001486975171E-4
anticipation,-0.001051861245719923
antidote,-0.0013579719608438582
antique,-9.27648746263565E-4
anton,-0.001445680396069259
antonio,-9.917012584517084E-4
ants,-0.0013119215385158172
antsy,0.006409890313180304
antwan,-7.84001486975171E-4
anubis,-7.84001486975171E-4
anxiety,-0.001445680396069259
anxious,-0.0023522923826701393
anxiously,0.0030487904415905033
any,-0.0018254802794602405
anya,-0.0011087624989792283
anybody,0.0060694226507235
anybodys,-0.001051861245719923
anyhoo,-7.84001486975171E-4
anyhow,-0.0014025117020763493
anymore,-0.0019605457005702183
anyone,-0.002776283227296372
anyones,-0.0013579719608438582
anyplace,-8.588332269309376E-4
anythin,0.007178461843565956
anything,-0.005186340478909622
anythings,-8.588332269309376E-4
anytime,-0.0018882642823354764
anyway,0.006720410905917227
anyways,0.0024133394598676397
anywhere,-0.0022312418280021214
apache,0.004883081152756485
apart,-6.197957052253479E-4
apartment,-3.1931337478373714E-4
apartments,-0.0012145958963774527
ape,-0.001445680396069259
apes,-8.588332269309376E-4
apiece,-0.0012145958963774527
apocalypse,-8.588332269309376E-4
apollo,-0.0016815884785703846
apologies,-0.0013119215385158172
apologize,-0.001618597823256698
apologizing,-7.84001486975171E-4
apology,-0.001644620943519138
apoplectic,0.007178461843565956
appalled,-9.917012584517084E-4
apparatus,-9.27648746263565E-4
apparent,-0.001051861245719923
apparently,-0.0030167509290611933
appeal,-0.001606803594003305
appealing,-0.0012145958963774527
appeals,-8.588332269309376E-4
appear,-6.1848113244744E-4
appearance,-0.002044607187941813
appearances,-8.588332269309376E-4
appeared,0.001807951879538796
appearing,-0.0011087624989792283
appears,-0.0020288591970621665
appetite,-0.0014875974070639613
applaud,-0.001051861245719923
applause,0.0028727302089919097
apple,-0.00201430887192669
apples,0.001604751860621816
application,-0.0013579719608438582
applications,-8.588332269309376E-4
applied,-0.001051861245719923
applies,-8.588332269309376E-4
apply,-0.001606803594003305
applying,-0.0012145958963774527
appoint,-8.588332269309376E-4
appointed,-0.0011087624989792283
appointment,-0.002404012008403249
appointments,-7.84001486975171E-4
appreciate,-0.0044785326913257505
appreciated,0.003925262173246959
appreciation,-8.588332269309376E-4
appreciatively,-7.84001486975171E-4
apprehensive,-0.0011087624989792283
apprentice,-0.0012641953586989781
approach,-1.0688843959143206E-4
approached,-9.917012584517084E-4
approaches,-0.0030370752765431744
approaching,0.0031315753818311805
appropriate,-0.0021898248199442873
approval,-0.0018882642823354764
approve,-0.0012145958963774527
approved,-0.0013119215385158172
approximately,-0.0012145958963774527
april,-0.0022177285894637087
apron,-7.84001486975171E-4
aptitude,-7.84001486975171E-4
aquarium,-8.588332269309376E-4
ar,-0.0012145958963774527
arab,-0.0013119215385158172
arabia,0.004883081152756485
arabic,0.006409890313180304
arabs,-0.0011087624989792283
arachtoids,-9.917012584517084E-4
aragorn,-0.0025528988866283077
aramis,-0.0015680749461160909
arbogast,-0.0011628834778207966
arc,-0.0012145958963774527
arch,-0.0019205505199999051
archer,-0.001606803594003305
archers,-8.588332269309376E-4
arches,-7.84001486975171E-4
archie,-0.004238339708194778
archies,-0.0011087624989792283
architects,-7.84001486975171E-4
architecture,-7.84001486975171E-4
archives,-9.917012584517084E-4
archy,-0.0017177610659257223
are,-0.007693349082665111
area,-0.0017102966747974768
areas,-0.0012145958963774527
arena,-9.917012584517084E-4
arent,0.0025149996021754896
argh,-0.0014025117020763493
argue,-0.0022994110536629455
argued,-9.917012584517084E-4
arguing,0.005369091670610345
argument,-0.0021898248199442873
arguments,-7.84001486975171E-4
argus,-9.27648746263565E-4
aria,-0.0014875974070639613
arias,-9.917012584517084E-4
arise,-9.27648746263565E-4
aristotle,-7.84001486975171E-4
arizona,-0.0011628834778207966
ark,-0.0017879133457823439
arkady,-7.84001486975171E-4
arlen,-0.0019523032820335416
arly,-0.001051861245719923
arm,0.004488364915964242
armchair,-9.27648746263565E-4
armed,-0.0028704612658579784
armies,-0.0018554167201464764
armor,-0.0016815884785703846
armored,-0.0017531879115482531
armory,-0.0011087624989792283
arms,0.0019248563655220074
armstrong,-0.0011628834778207966
army,-0.003356138421863811
armys,-8.588332269309376E-4
arnie,-0.0014025117020763493
arnold,-0.0012641953586989781
aron,0.01015203341459942
around,-0.002397141170660044
aroused,0.004883081152756485
arquillians,-7.84001486975171E-4
arrakis,-0.0012145958963774527
arrange,-0.002429459432989939
arranged,-0.0023782926317469314
arrangement,-0.0015283657247278082
arrangements,-0.0015283657247278082
array,-0.001051861245719923
arrest,-0.004029838867964059
arrested,-0.0028272766673376644
arresting,-0.001051861245719923
arrests,-0.0011087624989792283
arright,-0.001051861245719923
arrival,-0.0013119215385158172
arrivals,-9.917012584517084E-4
arrive,-0.0022177285894637087
arrived,-0.002647514967578566
arrives,3.0218697045226875E-4
arriving,-0.0013579719608438582
arrogant,-0.0016815884785703846
arrow,-0.0014875974070639613
arrows,-9.917012584517084E-4
arson,-8.588332269309376E-4
art,0.012169749415714215
artery,-7.84001486975171E-4
arthur,-0.0011134213643726855
arthurs,-0.001051861245719923
article,-0.0019835481883708197
articles,0.0036740356531766655
artifact,-7.84001486975171E-4
artificial,-8.588332269309376E-4
artist,-0.002429459432989939
artists,-0.0011087624989792283
artoo,-0.002044607187941813
arts,-0.0015680749461160909
arwen,-0.0011628834778207966
as,-0.007678644067490775
asael,0.0035128069038903027
ash,-0.0011087624989792283
ashamed,0.0030429305700547986
ashes,-0.0014875974070639613
ashley,-0.0014025117020763493
ashoka,-0.0018554167201464764
ashokas,-8.588332269309376E-4
ashore,-8.588332269309376E-4
ashtray,-9.917012584517084E-4
asia,-0.0012641953586989781
asian,-0.0018219774740905396
aside,0.0014965100536495286
ask,-0.0030221103338299183
asked,-1.3878903284135792E-4
askin,-0.0018882642823354764
asking,-0.005309425061489493
asks,-0.002044607187941813
aslan,-0.0011775290576642693
aslans,-8.588332269309376E-4
asleep,8.92732540981708E-4
aspen,-0.0012145958963774527
asphalt,-8.588332269309376E-4
aspirations,-8.588332269309376E-4
aspirin,-9.917012584517084E-4
aspirins,-7.84001486975171E-4
ass,-0.003574881120327698
ass-hole,-7.84001486975171E-4
assassin,-0.001445680396069259
assassinated,-7.84001486975171E-4
assassination,-0.0013579719608438582
assassins,-0.001445680396069259
assault,-0.0019523032820335416
assemble,-9.27648746263565E-4
assembled,-9.27648746263565E-4
assembly,-0.001445680396069259
asses,-0.0019523032820335416
assess,-9.27648746263565E-4
asset,-0.001051861245719923
assets,-0.0012145958963774527
asshole,0.003888332992681184
assholes,-0.002454643363636462
assigned,-0.0017531879115482531
assignment,-0.0019835481883708197
assignments,-0.0011087624989792283
assist,-0.001606803594003305
assistance,-0.0017177610659257223
assistant,-0.0029962889725915804
assistants,-0.001051861245719923
associate,-0.001644620943519138
associated,-0.0011628834778207966
associates,-0.0011087624989792283
association,-0.0013579719608438582
assume,-0.0027834232258098705
assumed,0.0012457533773569463
assuming,0.0030487904415905033
assurance,-0.0014025117020763493
assurances,-7.84001486975171E-4
assure,1.4075274802013968E-4
assured,-0.001445680396069259
ast,0.007178461843565956
asteroid,-9.27648746263565E-4
astonished,-0.0011087624989792283
astounding,-7.84001486975171E-4
astronaut,0.005303236503572925
asylum,-0.0013119215385158172
at,-0.004060338894824605
ata,-7.84001486975171E-4
ate,-9.119833548691982E-4
athlete,-9.27648746263565E-4
athletes,-7.84001486975171E-4
athletic,-8.588332269309376E-4
athos,-0.0017531879115482531
atlanta,-0.0013579719608438582
atlantic,-0.0017531879115482531
atm,-0.001051861245719923
atmosphere,-0.002074463395634465
atomic,-0.001051861245719923
atone,-8.588332269309376E-4
atop,0.008612266665050088
atreides,-0.0013579719608438582
atta,-7.84001486975171E-4
attaboy,-8.588332269309376E-4
attach,-9.27648746263565E-4
attached,-0.0019835481883708197
attaches,-8.588332269309376E-4
attack,6.605947832288615E-4
attacked,0.0026330728751319202
attackers,-7.84001486975171E-4
attacking,-0.0011087624989792283
attacks,-0.0017879133457823439
attempt,-0.002504252457750369
attempted,0.002709156185251966
attempting,-0.0012641953586989781
attempts,-0.001606803594003305
attend,-0.0017531879115482531
attendance,-0.001051861245719923
attendant,-0.0015680749461160909
attended,-0.0012641953586989781
attending,-0.001051861245719923
